"feature"	"metadata"	"value"	"name"	"coef"	"stderr"	"pval_individual"	"error"	"qval_individual"	"model"	"N"	"N.not.zero"	"pval_joint"	"qval_joint"
"NONMEVIPP_PWY_methylerythritol_phosphate_pwy_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.360754357141974	0.0918012364973143	3.40094539067025e-08	NA	7.55009876728796e-06	"abundance"	754	750	6.8018906656762e-08	1.51001972778012e-05
"NONMEVIPP_PWY_methylerythritol_phosphate_pwy_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-1.54210507787857	1.05158147141663	0.142522256545313	NA	0.999999991570846	"prevalence"	754	750	6.8018906656762e-08	1.51001972778012e-05
"PWY_2942_L_lysine_biosyn_III"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.277010435382344	0.0792191303813678	8.79222373606274e-08	NA	9.75936834702964e-06	"abundance"	754	753	1.75844466990935e-07	1.95187358359937e-05
"PWY_7228_SP_of_guanosine_nt_de_novo_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.491976809347316	0.12482066023632	3.39246179777719e-07	NA	2.51042173035512e-05	"abundance"	754	734	6.78492244467468e-07	5.02084260905926e-05
"PWY_7228_SP_of_guanosine_nt_de_novo_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-2.90492879441941	0.999911693545348	0.00367035688102643	NA	0.41395090769941	"prevalence"	754	734	6.78492244467468e-07	5.02084260905926e-05
"PWY_5097_L_lysine_biosyn_VI"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.308472153258793	0.0947256298273619	1.48761766208506e-06	NA	8.25627802457207e-05	"abundance"	754	753	1.48761766208506e-06	8.25627802457207e-05
"PWY_6387_UDP_N_acetylmuramoyl_pentapeptide_biosyn_I"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.0921681763442884	0.0700298189536871	0.000533579913798439	NA	0.0197424568105422	"abundance"	754	750	0.00106687512007247	0.0325582526378955
"PWY_7221_guanosine_rnt_de_novo_biosyn"	"antibiotics"	"Yes"	"antibioticsYes"	0.265419876352404	0.0654325615543228	0.00117327036532957	NA	0.0289406690114627	"abundance"	754	753	0.00117327036532957	0.0325582526378955
"PWY_7221_guanosine_rnt_de_novo_biosyn"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	-0.115999739763987	0.0794954127969538	0.000807153328560592	NA	0.0255982912772073	"abundance"	754	753	0.000807153328560592	0.0325582526378955
"PWY66_422_D_galactose_deg_V"	"dysbiosis_state"	"dysbiosis_CD"	"dysbiosis_statedysbiosis_CD"	0.825688891767822	0.193522546550082	0.00052853998793344	NA	0.0197424568105422	"abundance"	754	738	0.00105680062134804	0.0325582526378955
